KomNr_ny,KommuneNavn_ny,brukerbetaling_diff,brukerbetaling_diff_grupper,brukerbetaling_diff_pst
4219,Evje Og Hornnes,-7.0537627e-4,-25-,-2.1213641
5058,Åfjord,-0.0011075214,-25-,-2.23665
4203,Arendal,-0.0010246672,-25-,-2.2923541
5443,Båtsfjord,-7.7444129e-4,-25-,-2.4249368
5433,Hasvik,-0.0010185614,-25-,-2.5141137
1874,Moskenes,-0.0011486448,-25-,-2.6802006
5428,Nordreisa,-0.001378689,-25-,-3.6400571
3021,Ås,-0.0018368512,-25-,-3.7430367
5432,Loppa,-0.0018112063,-25-,-4.6496229
5057,Ørland,-0.0027060062,-25-,-4.6643171
3016,Rakkestad,-0.0019883029,-25-,-4.8467193
5421,Senja,-0.0023965351,-25-,-5.0943375
4213,Tvedestrand,-0.0023250729,-25-,-5.2051554
4640,Sogndal,-0.0026986822,-25-,-5.3970022
5436,Porsanger,-0.0023134351,-25-,-5.8174562
1824,Vefsn,-0.0025640987,-25-,-5.8394537
3047,Modum,-0.0022694133,-25-,-5.9148397
3018,Våler (Viken),-0.002235733,-25-,-5.9193878
4639,Vik,-0.0033264384,-25-,-6.0719314
3448,Nordre Land,-0.0028824285,-25-,-6.217205
4641,Aurland,-0.0025260001,-25-,-6.6197519
1822,Leirfjord,-0.0027868524,-25-,-6.6469021
5034,Meråker,-0.0037338734,-25-,-7.2814007
5420,Dyrøy,-0.0037052408,-25-,-7.4174514
4642,Lærdal,-0.0043699928,-25-,-7.5244861
1124,Sola,-0.0027460679,-25-,-7.6661515
1851,Lødingen,-0.003114529,-25-,-7.7566934
1119,Hå,-0.0045648739,-25-,-7.9227591
4223,Vennesla,-0.002429748,-25-,-7.9714241
3045,Sigdal,-0.0027270447,-25-,-9.0870304
1108,Sandnes,-0.0035832487,-25-,-9.4206495
5402,Harstad,-0.0046547316,-25-,-9.729249
3805,Larvik,-0.0039145537,-25-,-9.7958069
1121,Time,-0.0040745102,-25-,-9.879158
5430,Kautokeino,-0.0025347322,-25-,-10.07553
1845,Sørfold,-0.0048742332,-25-,-10.488721
5028,Melhus,-0.0048255473,-25-,-11.060194
5435,Nordkapp,-0.0092222393,-25-,-11.15424
3803,Tønsberg,-0.0054530725,-25-,-11.361855
1122,Gjesdal,-0.0041725859,-25-,-11.366698
1535,Vestnes,-0.004926011,-25-,-11.443143
5412,Tjeldsund,-0.0052479543,-25-,-11.806849
5418,Målselv,-0.0069789737,-25-,-12.150879
5434,Måsøy,-0.0080261789,-25-,-12.339454
4650,Gloppen,-0.0066150352,-25-,-13.663465
4638,Høyanger,-0.0077957101000000004,-25-,-13.711359
3816,Nome,-0.0069879182,-25-,-13.719776
4612,Sveio,-0.004626384,-25-,-13.830811
3429,Folldal,-0.0063326843,-25-,-13.982081
1560,Tingvoll,-0.0059270337,-25-,-14.01653
4613,Bømlo,-0.0043982379,-25-,-14.430656
1815,Vega,-0.0087708272,-25-,-14.618238
4228,Sirdal,-0.0043465924,-25-,-14.635774
5001,Trondheim,-0.0072403327,-25-,-14.720963
1837,Meløy,-0.0068256818,-25-,-14.769783
1557,Gjemnes,-0.0064397976,-25-,-15.115431
4207,Flekkefjord,-0.0080937408,-25-,-15.123737
3423,Stor-Elvdal,-0.0080135353,-25-,-15.43671
5036,Frosta,-0.0065991618,-25-,-15.545424
5033,Tydal,-0.0062279999,-25-,-15.760133
3019,Vestby,-0.0080680661,-25-,-16.095478
5427,Skjervøy,-0.0076078065,-25-,-16.914137
3437,Sel,-0.0056177061,-25-,-17.081409
5047,Overhalla,-0.010199528,-25-,-17.278852
1573,Smøla,-0.0068341531,-25-,-17.305534
3001,Halden,-0.00533011,-25-,-17.55608
1520,Ørsta,-0.01145618,-25-,-17.580544
5059,Orkland,-0.0091448836,-25-,-17.907824
5046,Høylandet,-0.0091471225,-25-,-18.015718
1577,Volda,-0.010373097,-25-,-18.022036
3038,Hole,-0.010742396,-25-,-18.404961
1840,Saltdal,-0.0084683821,-25-,-18.76173
4220,Bygland,-0.0080199875,-25-,-18.913881
3432,Lesja,-0.010030638,-25-,-18.915056
3818,Tinn,-0.007731501,-25-,-19.395523
3804,Sandefjord,-0.0070796572,-25-,-19.593517
5014,Frøya,-0.0094107799,-25-,-19.628359
5038,Verdal,-0.0086347908,-25-,-19.628437
3447,Søndre Land,-0.007708583,-25-,-19.656166
1133,Hjelmeland,-0.00814851,-25-,-19.795389
4222,Bykle,-0.0038600396,-25-,-20.030447
5007,Namsos,-0.0078964084,-25-,-20.116539
1111,Sokndal,-0.0076311436,-25-,-20.192076
4632,Austrheim,-0.011412535,-25-,-20.435099
1160,Vindafjord,-0.0092837662,-25-,-20.524347
1856,Røst,-0.0079358518,-25-,-20.759523
3451,Nord-Aurdal,-0.0073432643,-25-,-20.870266
5416,Bardu,-0.010273315,-25-,-20.946711
5021,Oppdal,-0.0081281308,-25-,-20.973221
3026,Aurskog-Høland,-0.010873318,-25-,-21.07263
5044,Namsskogan,-0.0080590453,-25-,-21.237465
5055,Heim,-0.0077596661,-25-,-21.395794
1130,Strand,-0.0066965632,-25-,-21.549292
5029,Skaun,-0.014065031,-25-,-21.55912
3003,Sarpsborg,-0.0079425555,-25-,-21.696472
1516,Ulstein,-0.007657405,-25-,-21.802912
3412,Løten,-0.010544755,-25-,-22.095732
4226,Hægebostad,-0.0097446628,-25-,-22.160849
1812,Sømna,-0.010987304,-25-,-22.366156
3035,Eidsvoll,-0.010189366,-25-,-22.450981
5025,Røros,-0.013673417,-25-,-22.621225
1149,Karmøy,-0.010384098,-25-,-22.770731
4621,Voss,-0.012973402,-25-,-22.794012
3812,Siljan,-0.010982763,-25-,-22.93096
1579,Hustadvika,-0.011428401,-25-,-22.967884
3013,Marker,-0.01007079,-25-,-22.975748
1144,Kvitsøy,-0.010584451,-25-,-23.014524
4216,Birkenes,-0.0070149973,-25-,-23.085985
4623,Samnanger,-0.010289203,-25-,-23.180805
1506,Molde,-0.011399329,-25-,-23.268394
5426,Kåfjord,-0.0079758316,-25-,-23.4541
3042,Hemsedal,-0.011859111,-25-,-23.741747
1120,Klepp,-0.011725932,-25-,-23.812155
1865,Vågan,-0.011643276,-25-,-24.07509
1566,Surnadal,-0.012635451,-25-,-24.194876
3426,Tolga,-0.013395794,-25-,-24.264004
1867,Bø,-0.014861297,-25-,-24.304993
3822,Nissedal,-0.0088941827,-25-,-24.384134
3424,Rendalen,-0.010760143,-25-,-24.76334
1563,Sunndal,-0.013361577,-25-,-24.816767
3048,Øvre Eiker,-0.010394275,-25-,-24.899343
3025,Asker,-0.011702858,-25-,-24.995457
3811,Færder,-0.01213203,-50-,-25.053507
4601,Bergen,-0.013171028,-50-,-25.220942
4626,Øygarden,-0.01080247,-50-,-25.266431999999998
3806,Porsgrunn,-0.010998201,-50-,-25.395475
4215,Lillesand,-0.009689616,-50-,-25.46162
1146,Tysvær,-0.010730993,-50-,-25.469061
1511,Vanylven,-0.015067082,-50-,-25.840467
3453,Øystre Slidre,-0.011072092,-50-,-26.020998
3028,Enebakk,-0.013312429,-50-,-26.120588
1135,Sauda,-0.0093835499,-50-,-26.212362
4204,Kristiansand,-0.011035794,-50-,-26.2236
4627,Askøy,-0.01232579,-50-,-26.259218
1868,Øksnes,-0.013022434,-50-,-26.26088
