navn;antall;kommunenummer
Sør-Aurdal;0;3449
Etnedal;0;3450
Vang;0;3454
Nissedal;0;3822
Fyresdal;0;3823
Vegårshei;0;4212
Valle;0;4221
Åseral;0;4224
Eidfjord;0;4619
Samnanger;0;4623
Modalen;0;4629
Fedje;0;4633
Aurland;0;4641
Lærdal;0;4642
Fjaler;0;4646
Frøya;0;5014
Tydal;0;5033
Lierne;0;5042
Røyrvik;0;5043
Namsskogan;0;5044
Flatanger;0;5049
Leka;0;5052
Rindal;0;5061
Gratangen;0;5414
Dyrøy;0;5420
Storfjord;0;5425
Kåfjord;0;5426
Loppa;0;5432
Lebesby;0;5438
Gamvik;0;5439
Berlevåg;0;5440
